???-r^s???q??????mr^s???q???

/Gem Systems GSM-19W 9088378 v7.0 23 VI 2022 M ew3ft~v7o 
/ID 1 file 63      .b   25 IV 26
/datum  32000.00
/ 008.1350146  -002.5929778 
/UTC
/30P
/00D809A6 8919
/GPS version 2018/Aug/24
/50Hz AC filter
/12.9V
/tune initialize N auto-tune N 032.7uT
/028800bps
/time nT sq 
140753.0  32561.56 99 
140753.5  32561.44 99 
140754.0  32561.12 99 
140754.5  32560.99 99 
140755.0  32561.74 99 
140755.5  32561.10 99 
140756.0  32560.77 99 
140756.5  32560.95 99 
140757.0  32561.15 99 
140757.5  32561.41 99 
140758.0  32560.74 99 
140758.5  32561.35 99 
140759.0  32560.77 98 
140759.5  32561.00 99 
140800.0  32561.02 99 
140800.5  32560.74 99 
140801.0  32561.33 99 
140801.5  32561.35 99 
140802.0  32561.16 99 
140802.5  32560.97 99 
140803.0  32560.90 99 
140803.5  32561.17 99 
140804.0  32561.16 99 
140804.5  32560.98 99 
140805.0  32561.18 99 
140805.5  32560.98 99 
140806.0  32560.90 99 
140806.5  32560.88 99 
140807.0  32561.64 99 
140807.5  32561.26 99 
140808.0  32561.11 99 
140808.5  32561.19 99 
140809.0  32560.68 99 
140809.5  32561.23 99 
140810.0  32560.75 99 
140810.5  32561.44 99 
140811.0  32561.55 99 
140811.5  32561.33 99 
140812.0  32561.06 99 
140812.5  32560.30 99 
140813.0  32561.13 99 
140813.5  32561.11 99 
140814.0  32561.28 99 
140814.5  32561.09 99 
140815.0  32561.07 99 
140815.5  32560.79 99 
140816.0  32561.32 99 
140816.5  32561.47 99 
140817.0  32561.19 99 
140817.5  32560.93 99 
140818.0  32560.97 99 
140818.5  32561.14 99 
140819.0  32560.50 99 
140819.5  32561.42 99 
140820.0  32560.63 99 
140820.5  32561.08 99 
140821.0  32561.00 99 
140821.5  32561.08 99 
140822.0  32560.91 99 
140822.5  32560.71 99 
140823.0  32560.41 99 
140823.5  32561.12 99 
140824.0  32561.06 99 
140824.5  32560.79 99 
140825.0  32560.92 99 
140825.5  32560.78 99 
140826.0  32561.14 99 
140826.5  32560.85 99 
140827.0  32560.94 99 
140827.5  32560.85 99 
140828.0  32560.73 99 
140828.5  32561.10 99 
140829.0  32560.95 99 
140829.5  32561.47 99 
140830.0  32560.71 99 
140830.5  32561.33 99 
140831.0  32560.83 99 
140831.5  32561.15 99 
140832.0  32560.75 99 
140832.5  32561.62 99 
140833.0  32561.22 99 
140833.5  32561.39 99 
140834.0  32561.15 99 
140834.5  32560.53 99 
140835.0  32561.25 99 
140835.5  32561.31 99 
140836.0  32561.04 99 
140836.5  32560.76 99 
140837.0  32561.26 99 
140837.5  32561.68 99 
140838.0  32561.26 99 
140838.5  32560.92 99 
140839.0  32561.20 99 
140839.5  32561.66 99 
140840.0  32561.39 99 
140840.5  32560.90 99 
140841.0  32561.01 99 
140841.5  32561.10 99 
140842.0  32560.78 99 
140842.5  32560.97 99 
140843.0  32561.10 99 
140843.5  32560.88 99 
140844.0  32561.05 99 
140844.5  32560.47 99 
140845.0  32560.99 99 
140845.5  32561.53 99 
140846.0  32560.75 99 
140846.5  32560.72 99 
140847.0  32561.13 99 
140847.5  32560.36 99 
140848.0  32561.16 99 
140848.5  32561.15 99 
140849.0  32560.74 99 
140849.5  32560.77 99 
140850.0  32561.25 99 
140850.5  32561.15 99 
140851.0  32560.83 99 
140851.5  32561.39 99 
140852.0  32561.34 99 
140852.5  32560.79 99 
140853.0  32561.47 99 
140853.5  32560.81 99 
140854.0  32561.00 99 
140854.5  32561.00 99 
140855.0  32560.78 99 
140855.5  32560.47 99 
140856.0  32561.21 99 
140856.5  32561.13 99 
140857.0  32561.19 99 
140857.5  32560.76 99 
140858.0  32560.96 99 
140858.5  32561.99 99 
140859.0  32560.94 99 
140859.5  32560.82 99 
140900.0  32560.75 99 
140900.5  32560.65 99 
140901.0  32560.80 99 
140901.5  32561.18 99 
140902.0  32561.38 99 
140902.5  32561.47 99 
140903.0  32560.78 99 
140903.5  32560.81 99 
140904.0  32561.03 99 
140904.5  32561.19 99 
140905.0  32561.04 99 
140905.5  32561.42 99 
140906.0  32560.63 99 
140906.5  32560.83 99 
140907.0  32561.25 99 
140907.5  32561.27 99 
140908.0  32561.11 99 
140908.5  32560.97 99 
140909.0  32560.26 99 
140909.5  32561.14 99 
140910.0  32560.15 99 
140910.5  32561.31 99 
140911.0  32560.93 99 
140911.5  32560.77 99 
140912.0  32561.02 99 
140912.5  32561.21 99 
140913.0  32560.91 99 
140913.5  32561.56 99 
140914.0  32561.48 99 
140914.5  32561.34 99 
140915.0  32560.55 99 
140915.5  32561.13 99 
140916.0  32561.09 99 
140916.5  32561.18 99 
140917.0  32560.88 99 
140917.5  32561.41 99 
140918.0  32561.32 99 
140918.5  32560.61 99 
140919.0  32560.59 99 
140919.5  32561.49 99 
140920.0  32561.24 99 
140920.5  32561.36 99 
140921.0  32560.93 99 
140921.5  32561.44 99 
140922.0  32561.13 99 
140922.5  32561.17 99 
140923.0  32561.07 99 
140923.5  32560.89 99 
140924.0  32560.49 99 
140924.5  32561.41 99 
140925.0  32561.20 99 
140925.5  32560.89 99 
140926.0  32561.60 99 
140926.5  32560.20 99 
140927.0  32560.76 99 
140927.5  32560.88 99 
140928.0  32560.72 99 
140928.5  32560.48 99 
140929.0  32560.92 99 
140929.5  32561.46 99 
140930.0  32561.19 99 
140930.5  32561.21 99 
140931.0  32560.50 99 
140931.5  32560.88 99 
140932.0  32560.55 99 
140932.5  32560.91 99 
140933.0  32560.79 99 
140933.5  32560.80 99 
140934.0  32561.44 99 
140934.5  32561.08 99 
140935.0  32561.42 99 
140935.5  32560.64 99 
140936.0  32561.07 99 
140936.5  32561.40 99 
140937.0  32561.52 99 
140937.5  32561.39 99 
140938.0  32561.33 99 
140938.5  32560.45 99 
140939.0  32560.84 99 
140939.5  32560.33 99 
140940.0  32561.14 99 
140940.5  32561.53 99 
140941.0  32561.01 99 
140941.5  32562.09 99 
140942.0  32560.89 99 
140942.5  32560.94 99 
140943.0  32560.90 99 
140943.5  32561.40 99 
140944.0  32561.06 99 
140944.5  32561.65 99 
140945.0  32560.99 99 
140945.5  32561.25 99 
140946.0  32561.86 99 
140946.5  32560.85 99 
140947.0  32561.05 99 
140947.5  32560.88 99 
140948.0  32560.98 99 
140948.5  32560.90 99 
140949.0  32560.94 99 
140949.5  32560.48 99 
140950.0  32560.72 99 
140950.5  32560.51 99 
140951.0  32561.20 99 
140951.5  32561.13 99 
140952.0  32560.93 99 
140952.5  32560.88 99 
140953.0  32561.92 99 
140953.5  32560.61 99 
140954.0  32561.15 99 
140954.5  32560.78 99 
140955.0  32560.96 99 
140955.5  32560.81 99 
140956.0  32561.64 99 
140956.5  32561.00 99 
140957.0  32561.13 99 
140957.5  32560.83 99 
140958.0  32561.12 99 
140958.5  32560.69 99 
140959.0  32561.11 99 
140959.5  32561.45 99 
141000.0  32561.08 99 
141000.5  32561.54 99 
141001.0  32561.11 99 
141001.5  32560.75 99 
141002.0  32560.95 99 
141002.5  32561.57 99 
141003.0  32561.83 99 
141003.5  32561.36 99 
141004.0  32560.74 99 
141004.5  32561.17 99 
141005.0  32561.16 99 
141005.5  32560.75 99 
141006.0  32561.24 99 
141006.5  32560.98 99 
141007.0  32561.08 99 
141007.5  32561.31 99 
141008.0  32561.60 99 
141008.5  32561.04 99 
141009.0  32561.24 99 
141009.5  32561.31 99 
141010.0  32561.20 99 
141010.5  32561.32 99 
141011.0  32561.49 99 
141011.5  32561.42 99 
141012.0  32561.21 99 
141012.5  32560.90 99 
141013.0  32561.10 99 
141013.5  32561.25 99 
141014.0  32560.52 99 
141014.5  32560.85 99 
141015.0  32560.98 99 
141015.5  32561.15 99 
141016.0  32561.28 99 
141016.5  32560.82 99 
141017.0  32560.68 99 
141017.5  32560.78 99 
141018.0  32560.78 99 
141018.5  32560.86 99 
141019.0  32561.74 99 
141019.5  32560.98 99 
141020.0  32561.06 99 
141020.5  32560.75 99 
141021.0  32561.22 99 
141021.5  32561.25 99 
141022.0  32561.47 99 
141022.5  32561.35 99 
141023.0  32561.49 99 
141023.5  32560.98 99 
141024.0  32560.69 99 
141024.5  32560.92 99 
141025.0  32561.31 99 
141025.5  32561.10 99 
141026.0  32561.46 99 
141026.5  32561.22 99 
141027.0  32561.20 99 
141027.5  32560.94 99 
141028.0  32561.41 99 
141028.5  32561.18 99 
141029.0  32561.58 99 
141029.5  32561.72 99 
141030.0  32561.25 99 
141030.5  32561.57 99 
141031.0  32560.94 99 
141031.5  32560.67 99 
141032.0  32561.10 99 
141032.5  32561.24 99 
141033.0  32561.37 99 
141033.5  32561.00 99 
141034.0  32560.92 99 
141034.5  32560.87 99 
141035.0  32560.78 99 
141035.5  32560.76 99 
141036.0  32560.90 99 
141036.5  32561.73 99 
141037.0  32560.77 99 
141037.5  32560.84 99 
141038.0  32561.05 99 
141038.5  32561.44 99 
141039.0  32561.11 99 
141039.5  32561.51 99 
141040.0  32561.24 99 
141040.5  32560.82 99 
141041.0  32560.94 99 
141041.5  32560.89 99 
141042.0  32561.63 99 
141042.5  32560.74 99 
141043.0  32560.76 99 
141043.5  32560.54 99 
141044.0  32560.71 99 
141044.5  32561.00 99 
141045.0  32561.38 99 
141045.5  32561.46 99 
141046.0  32560.92 99 
141046.5  32560.83 99 
141047.0  32560.93 99 
141047.5  32560.96 99 
141048.0  32560.99 99 
141048.5  32561.19 99 
141049.0  32560.81 99 
141049.5  32561.55 99 
141050.0  32560.77 99 
141050.5  32561.00 99 
141051.0  32561.04 99 
141051.5  32561.24 99 
141052.0  32561.48 99 
141052.5  32560.93 99 
141053.0  32560.76 99 
141053.5  32561.05 99 
141054.0  32560.86 99 
141054.5  32560.32 99 
141055.0  32560.77 99 
141055.5  32560.84 99 
141056.0  32561.43 99 
141056.5  32560.59 99 
141057.0  32560.85 99 
141057.5  32560.53 99 
141058.0  32560.47 99 
141058.5  32561.39 99 
141059.0  32561.08 99 
141059.5  32561.29 99 
141100.0  32561.77 99 
141100.5  32560.65 99 
141101.0  32560.73 99 
141101.5  32560.87 99 
141102.0  32561.05 99 
141102.5  32560.61 99 
141103.0  32561.17 99 
141103.5  32561.37 99 
141104.0  32561.19 99 
141104.5  32560.61 99 
141105.0  32560.69 99 
141105.5  32561.35 99 
141106.0  32560.90 99 
141106.5  32561.24 99 
141107.0  32561.22 99 
141107.5  32561.17 99 
141108.0  32561.00 99 
141108.5  32561.18 99 
141109.0  32560.74 99 
141109.5  32560.43 99 
141110.0  32561.05 99 
141110.5  32560.26 99 
141111.0  32560.74 99 
141111.5  32561.16 99 
141112.0  32561.64 99 
141112.5  32561.58 99 
141113.0  32560.74 99 
141113.5  32561.05 99 
141114.0  32560.61 99 
141114.5  32561.00 99 
141115.0  32560.47 99 
141115.5  32561.27 99 
141116.0  32561.12 99 
141116.5  32560.91 99 
141117.0  32560.86 99 
141117.5  32561.31 99 
141118.0  32560.89 99 
141118.5  32560.44 99 
141119.0  32560.58 99 
141119.5  32560.86 99 
141120.0  32561.25 99 
141120.5  32560.99 99 
141121.0  32560.71 99 
141121.5  32561.14 99 
141122.0  32560.78 99 
141122.5  32560.75 99 
141123.0  32560.68 99 
141123.5  32560.71 99 
141124.0  32560.96 99 
